Year ,District,PPM
2018,Thanjavur,28.6
2018,Thanjavur,16.9
2018,Thanjavur,26.5
2018,Thanjavur,25.4
2018,Thanjavur,20.1
2018,Thanjavur,32.8
2018,Thanjavur,11.6
2018,Thanjavur,32.8
2018,Thanjavur,38.1
2018,Thanjavur,24.3
2018,Thanjavur,29.6
2018,Thanjavur,11.6
2018,Thanjavur,29.6
2018,Thanjavur,0.0
2018,Thanjavur,22.2
2018,Thanjavur,0.0
2018,Thanjavur,21.2
2018,Thanjavur,45.5
2018,Thanjavur,10.6
2018,Thanjavur,21.2
2018,Thanjavur,29.6
2018,Thanjavur,23.3
2018,Thanjavur,0.0
2018,Thanjavur,0.0
2018,Thanjavur,0.0
2018,The Nilgiris,14.8
2018,The Nilgiris,20.1
2018,The Nilgiris,40.2
2018,The Nilgiris,24.3
2018,The Nilgiris,44.4
2018,The Nilgiris,33.9
2018,Theni,0.0
2018,Theni,24.3
2018,Theni,0.0
2018,Theni,18.0
2018,Trichy,23.3
2018,Trichy,0.0
2018,Trichy,44.4
2018,Trichy,30.7
2018,Trichy,12.7
2018,Trichy,0.0
2018,Trichy,26.5
2018,Trichy,27.5
2018,Trichy,26.5
2018,Trichy,29.6
2018,Trichy,32.8
2018,Trichy,13.8
2018,Trichy,14.8
2018,Trichy,31.7
2018,Trichy,16.9
2018,Trichy,34.9
2018,Trichy,23.3
2018,Trichy,23.3
2018,Trichy,21.2
2018,Trichy,36.0
2018,Trichy,21.2
2018,Trichy,14.8
2018,Trichy,34.9
2018,Trichy,27.5
2018,Trichy,20.1
2018,Trichy,20.1
2018,Trichy,24.3
2018,Trichy,62.4
2018,Trichy,38.1
2018,Trichy,42.3
2018,Trichy,36.0
2018,Trichy,38.1
2018,Trichy,24.3
2018,Trichy,33.9
2018,Trichy,47.6
2018,Trichy,62.4
2018,Trichy,14.8
2018,Trichy,32.8
2018,Trichy,5.3
2018,Trichy,39.1
2018,Trichy,13.8
2018,Trichy,16.9
2018,Trichy,33.9
2018,Trichy,24.3
2018,Trichy,30.7
2018,Trichy,20.1
2018,Trichy,20.1
2018,Trichy,28.6
2018,Trichy,51.8
2018,Trichy,0.0
2018,Trichy,36.0
