Salt Type,Brand,PPM
Refined,Day,24.3
Crystal,Shanmuga,14.8
Powder,Diamond,25.4
Crystal,Saravana,28.6
Refined,Subam,58.2
Refined,Aashirvad,44.4
Crystal,Anil,30.7
Refined,Aashirvad,57.1
Crystal,Adithya,16.9
Crystal,RSPS Subam,10.6
Refined,Subam,32.8
Crystal,Subam Super Star,0.0
Refined,Aashirvad,54.0
Crystal,Subam,12.7
Refined,Issudh,21.2
Crystal,Vel Murugan,44.4
Refined,I Flo,23.3
Crystal,Marvel,47.6
Refined,Amma,48.7
Refined,Sugam,46.6
Crystal,KSPS Subam,5.3
Refined,VKS Tru,25.4
Crystal,Arasu,3.2
Refined,Sprinkle,56.1
Crystal,Arasu,16.9
Crystal,Saravana,23.3
Crystal,Arasu,5.3
Refined,Kristal,19.0
Refined,Kristal,28.6
Crystal,Murugan,15.9
Crystal,Saravana,50.8
Refined,Kristal,29.6
Crystal,SRS,9.5
Refined,subam,44.4
Refined,Saravana,25.4
Crystal,Saravana,51.8
Crystal,VKS Tru,37.0
Refined,Kristal,33.9
Crystal,KSPS Subam,20.1
Crystal,Tata,33.9
Refined,Sprinkle,51.8
Refined,Kristal,37.0
Crystal,SRS,28.6
Crystal,Lakshmi,34.9
Crystal,Saravana,36.0
Crystal,Lakshmi,6.3
Refined,Samuthra,24.3
Crystal,Saravana,39.1
Crystal,Arasu,0.0
Crystal,MSP,33.9
Crystal,MSP,36.0
Refined,Tata,25.4
Refined,Tata,27.5
Refined,Tata,12.7
Crystal,MSP,37.0
Refined,Aashirvad,77.2
Crystal,Suriya,41.3
Refined,Tata,28.6
Crystal,Subha,36.0
Refined,Surya,33.9
Crystal,Tata,62.4
Crystal,SURYA,23.3
Crystal,MARINA,23.3
Refined,TATA,27.5
Crystal,ANNAPOORNA,19.0
Refined,I FLO,28.6
Powder,Ashoka,23.3
Crystal,Royal Star,0.0
Refined,Annapurna,34.9
Crystal,Diamond,50.8
Crystal,Annapurna,38.1
Refined,Farmer,0.0
Refined,Tata,39.1
Refined,Annapurna,39.1
Refined,Annapurna,41.3
Crystal,Little Horse(SSV),18.0
Crystal,Tata,27.5
Crystal,mangai,15.9
Powder,Mangai,27.5
Powder,Mangai,27.5
Crystal,Anna,8.5
Crystal,Kristal,43.4
Refined,Kristal,22.2
Crystal,Kristal,29.6
Crystal,Kristal,30.7
Crystal,Kristal,29.6
Crystal,Kristal,31.7
Refined,Kristal,28.6
Refined,Kristal,0.0
Crystal,Samuthra,21.2
Crystal,Anil,32.8
Refined,Anil,48.7
Refined,Tata,55.0
Refined,Anil,40.2
Crystal,SRS,8.5
Crystal,Anil,42.3
Refined,Aashirvad,49.7
Refined,Aashirvad,52.9
Refined,Tata,40.2
Crystal,Arasu,19.0
Crystal,Makizhchi,0.0
Crystal,Escee Kristal,15.9
Refined,Saravana,28.6
Crystal,Anil,43.4
Crystal,Anil,30.7
Crystal,Diamond,29.6
Refined,Aasirvad,20.1
Refined,Tiru,0.0
Refined,Sathya,0.0
Refined,Sudha Gold,19.0
Refined,Saravana,24.3
Refined,Vel Murugan,0.0
Refined,Super Hero,0.0
Refined,Sri Hari,0.0
Crystal,Lakshmi,0.0
Crystal,Anil,24.3
Crystal,Poorna,15.9
Refined,Samuthra,26.5
Crystal,Samuthra,16.9
Crystal,Priyam,27.5
Refined,Saravana,14.8
Refined,New Kristal,27.5
Crystal,Murugan,12.7
Refined,Anil,44.4
Powder,Diamond,15.9
Refined,Sprinkle,63.5
Crystal,Sathyam,32.8
Refined,Tata,34.9
Crystal,New Cavery,0.0
Refined,Anil,36.0
Refined,Sprinkle,61.4
Crystal,Kasthuri,0.0
Crystal,MSP Gold ,19.0
Crystal,MSP Jeevan,9.5
Refined,New VVD,38.1
Refined,Ayngaran,11.6
Crystal,Vinayaga,7.4
Refined,New VVD,24.3
Refined,Tata,29.6
Crystal,Shanmuga,14.8
Crystal,Ganga,25.4
Crystal,Tru,33.9
Crystal,Senthil,5.3
Refined,Ganga,20.1
Refined,Anil,36.0
Refined,Anil,39.1
Refined,Ganga,40.2
Refined,Ganga,38.1
Refined,Tata,41.3
Refined,Tata,1.1
Crystal,Roshini,5.3
Refined,Day,51.8
Refined,VKS Adthiya,23.3
Refined,Aashirvad,42.3
Refined,Sprinkle,46.6
Crystal,Anil,28.6
Crystal,Saravana,24.3
Refined,Subam,46.6
Refined,Anil,25.4
Crystal,Marvel,14.8
Crystal,Shanmuga,14.8
Refined,I-Flo,7.4
Crystal,SRS,16.9
Powder,Murugan,0.0
Crystal,Sendur Murugan Vignesh,19.0
Crystal,Vel Murugan,0.0
Refined,Aashirvad,32.8
Crystal,Ganga,27.5
Refined,I Sutha,6.3
Crystal,Diamond,22.2
Crystal,Senthil,5.3
Refined,Diamond,30.7
Crystal,VST,0.0
Crystal,Murugan,38.1
Refined,Saravana,30.7
Powder,Marina,12.7
Crystal,Murugan,0.0
Powder,Diamond,5.3
Refined,Saravana,23.3
Powder,SSV,15.9
Crystal,SSV,30.7
Powder,SSV,0.0
Crystal,SSV,22.2
Crystal,SSV,37.0
Crystal,Sri Sakthivel Murugan,5.3
Crystal,Sri Murugan,57.1
Refined,VKS Tru,34.9
Crystal,Nila,0.0
Crystal,Sri Murugan,22.2
Refined,Deva,0.0
Crystal,Murugan,0.0
Powder,MSV,4.2
Crystal,Murugan,0.0
Crystal,Murugan,0.0
Refined,Tata,33.9
Refined,I-Gold,14.8
Crystal,Tata,16.9
Crystal,NR,36.0
Refined,Tata,38.1
Refined,Aashirvad,55.0
Crystal,NR,16.9
Refined,Tata,34.9
Crystal,Aashirvad,36.0
Crystal,Kasthuri,18.0
